"UnderAttack","_availability","_confidentiality","_integrity","tick"
"false","true","true","true",1.0
"false","true","true","true",1.0
"false","true","true","true",1.0
"false","true","true","true",1.0
"false","true","true","true",1.0
"false","true","true","true",1.0
"false","true","true","true",1.0
"false","true","true","true",1.0
"false","true","true","true",1.0
"false","true","true","true",1.0
"false","true","true","true",1.0
"false","true","true","true",1.0
"false","true","true","true",1.0
"false","true","true","true",1.0
"false","true","true","true",1.0
"false","true","true","true",2.0
"false","true","true","true",2.0
"false","true","true","true",2.0
"false","true","true","true",2.0
"false","true","true","true",2.0
"false","true","true","true",2.0
"false","true","true","true",2.0
"false","true","true","true",2.0
"false","true","true","true",2.0
"false","true","true","true",2.0
"false","true","true","true",2.0
"false","true","true","true",2.0
"false","true","true","true",2.0
"false","true","true","true",2.0
"false","true","true","true",2.0
"false","true","true","true",3.0
"false","true","true","true",3.0
"false","true","true","true",3.0
"false","true","true","true",3.0
"false","true","true","true",3.0
"false","true","true","true",3.0
"false","true","true","true",3.0
"false","true","true","true",3.0
"false","true","true","true",3.0
"false","true","true","true",3.0
"false","true","true","true",3.0
"false","true","true","true",3.0
"false","true","true","true",3.0
"false","true","true","true",3.0
"false","true","true","true",3.0
"false","true","true","true",4.0
"false","true","true","true",4.0
"false","true","true","true",4.0
"false","true","true","true",4.0
"false","true","true","true",4.0
"false","true","true","true",4.0
"false","true","true","true",4.0
"false","true","true","true",4.0
"false","true","true","true",4.0
"false","true","true","true",4.0
"false","true","true","true",4.0
"false","true","true","true",4.0
"false","true","true","true",4.0
"false","true","true","true",4.0
"false","true","true","true",4.0
"false","true","true","true",5.0
"false","true","true","true",5.0
"false","true","true","true",5.0
"false","true","true","true",5.0
"false","true","true","true",5.0
"false","true","true","true",5.0
"false","true","true","true",5.0
"false","true","true","true",5.0
"false","true","true","true",5.0
"false","true","true","true",5.0
"false","true","true","true",5.0
"false","true","true","true",5.0
"false","true","true","true",5.0
"false","true","true","true",5.0
"false","true","true","true",5.0
"false","true","true","true",6.0
"false","true","true","true",6.0
"false","true","true","true",6.0
"false","true","true","true",6.0
